City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
0,Khatanga,RU,28.85,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
1,Gannavaram,IN,76.98,thunderstorm with light rain,16.5333,80.8,K guest house.
2,Fes,MA,66.45,clear sky,34.0372,-4.9998,Hotel Mounia Fès
3,Yangi Marg`ilon,UZ,72.32,clear sky,40.4272,71.7189,Ikathouse
4,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Rikitea,PF,73.78,clear sky,-23.1203,-134.9692,People ThankYou
6,Port Alfred,ZA,64.33,scattered clouds,-33.5906,26.891,The Halyards Hotel
7,Baijiantan,CN,54.0,clear sky,45.6333,85.1833,
8,Thompson,CA,59.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
9,Bluff,NZ,50.81,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
10,Anadyr,RU,36.1,few clouds,64.75,177.4833,"Гостиница ""Анадырь"""
11,Bethel,US,64.71,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
12,Atar,MR,93.81,clear sky,20.5169,-13.0499,Oumou Elghoura
13,Longyearbyen,SJ,39.04,light intensity drizzle,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
14,East London,ZA,66.0,broken clouds,-33.0153,27.9116,Tu Casa
15,Sitka,US,55.29,overcast clouds,57.0531,-135.33,Westmark Sitka
16,Victor Harbor,AU,71.8,overcast clouds,-35.5667,138.6167,McCracken Country Club
17,Qaanaaq,GL,19.06,broken clouds,77.484,-69.3632,Qaanaaq Hotel
18,Dwārka,IN,81.09,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
19,Tuktoyaktuk,CA,33.8,light rain,69.4541,-133.0374,End of The Road Ltd.
20,Saskylakh,RU,34.95,overcast clouds,71.9167,114.0833,
21,Emirdağ,TR,55.78,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
22,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
23,Camaná,PE,61.95,broken clouds,-16.6228,-72.7111,Hostal Morales
24,Mouila,GA,74.1,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
25,Omsukchan,RU,31.46,overcast clouds,62.5333,155.8,
26,Makati,PH,82.58,broken clouds,14.5569,121.0235,Dusit Thani Manila
27,Marabba,SD,74.84,scattered clouds,12.35,32.1833,
28,Mahébourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Cape Town,ZA,60.28,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
30,Albany,US,56.59,clear sky,42.6001,-73.9662,
31,Korla,CN,60.96,clear sky,41.7597,86.1469,Gulisitan Hotel
32,Faanui,PF,79.97,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Gravelbourg,CA,77.27,few clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
34,Butaritari,KI,83.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
35,Esim,GH,74.73,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
36,Carnarvon,AU,64.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
37,São João da Barra,BR,73.0,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
38,Bubaque,GW,83.43,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
39,Ballina,AU,64.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
40,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
41,Bredasdorp,ZA,58.32,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
42,Cidreira,BR,64.8,clear sky,-30.1811,-50.2056,Hotel Castelo
43,Pangnirtung,CA,32.14,few clouds,66.1451,-65.7125,Kilabuk Lodge
44,Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
45,Severo-Kuril'sk,RU,52.45,broken clouds,50.6789,156.125,Kak Doma
46,Hobart,AU,56.26,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
47,Floresta,BR,75.87,clear sky,-8.6011,-38.5686,Hotel Floresta
48,Constitución,CL,49.96,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
49,Koslan,RU,41.63,overcast clouds,63.4564,48.8989,
50,Mataura,NZ,50.49,clear sky,-46.1927,168.8643,Ellie's Villa
51,Barrow,US,21.22,clear sky,71.2906,-156.7887,King Eider Inn
52,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
53,Hilo,US,88.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
54,New Norfolk,AU,55.92,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
55,Mar del Plata,AR,54.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
57,Davidson,US,69.82,clear sky,36.1501,-86.7833,Best Western Plus Music Row
58,Labuhan,ID,80.82,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
59,Hermanus,ZA,58.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
60,Fortuna,US,69.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
61,Chokurdakh,RU,27.14,light snow,70.6333,147.9167,
62,Ushuaia,AR,40.66,clear sky,-54.8,-68.3,Albatros Hotel
63,‘Ewa Beach,US,85.37,broken clouds,21.3156,-158.0072,Uncle Junior Robert
64,Dezful,IR,77.81,clear sky,32.3811,48.4058,سالن پیرایش امید
65,Poum,NC,72.82,clear sky,-20.2333,164.0167,Gîte kajeon
66,Vardø,NO,48.0,overcast clouds,70.3705,31.1107,Vardø Hotel AS
67,Acapulco de Juárez,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
68,Leningradskiy,RU,29.14,overcast clouds,69.3833,178.4167,Gostinitsa
69,Busselton,AU,60.04,scattered clouds,-33.65,115.3333,Observatory Guest House
70,Jamestown,US,61.92,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
71,Fort Nelson,CA,47.79,light rain,58.8053,-122.7002,The Fort Nelson Hotel
72,Tasiilaq,GL,33.96,few clouds,65.6145,-37.6368,The Red House
73,Arraial do Cabo,BR,71.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
74,Saint Paul Harbor,US,47.53,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
75,Elk City,US,83.08,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
76,Ugoofaaru,MV,80.4,light rain,5.6667,73.0,Ungoofaaru Inn
77,Nakhon Thai,TH,76.91,overcast clouds,17.1006,100.8374,Phet resort
78,Salalah,OM,79.97,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
79,Hong Kong,HK,86.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
81,Lakes Entrance,AU,62.17,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
82,Anzhero-Sudzhensk,RU,31.66,broken clouds,56.081,86.0285,"Hotel ""Anzherskaya"""
83,Sur,OM,82.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
84,Tromsø,NO,57.85,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
85,Bajil,YE,85.86,clear sky,15.0584,43.2851,فندق حضرموت
86,Cherskiy,RU,29.57,snow,68.75,161.3,Gostinitsa
87,Mil'kovo,RU,50.76,overcast clouds,54.7167,158.6167,"Hotel ""Geologist"""
88,Anloga,GH,77.22,light rain,5.7947,0.8973,Pin Drop Hotel
89,Vila Franca do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
90,Airai,TL,76.01,overcast clouds,-8.9266,125.4092,Juvinal Martin
91,Puerto Ayora,EC,69.28,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Deputatsky,RU,28.63,light snow,69.3,139.9,Baza Otdykha
93,Tiksi,RU,33.62,light rain,71.6872,128.8694,Arktika
