City_ID,City,Country,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Asheville,US,-82.554,35.6009,67.98,91,1,3.44,clear sky
1,Avarua,CK,-159.775,-21.2078,75.25,83,75,6.91,light rain
2,Klaksvík,FO,-6.589,62.2266,49.12,84,100,21.74,overcast clouds
3,Leningradskiy,RU,178.4167,69.3833,20.98,72,13,8.9,few clouds
4,Busselton,AU,115.3333,-33.65,58.05,47,29,14.07,scattered clouds
5,Hurghada,EG,33.8129,27.2574,77.04,41,0,11.5,clear sky
6,Puerto Ayora,EC,-90.3518,-0.7393,69.55,90,71,8.84,broken clouds
7,Redlands,US,-117.1825,34.0556,88.32,20,2,0.25,clear sky
8,Port Alfred,ZA,26.891,-33.5906,53.22,68,85,21.45,light rain
9,Punta Arenas,CL,-70.9167,-53.15,42.91,81,75,4.61,light rain
10,Albany,US,-73.9662,42.6001,62.31,88,36,3.29,scattered clouds
11,Qaanaaq,GL,-69.3632,77.484,30.69,95,100,15.73,light snow
12,Kalangala,UG,32.225,-0.3089,65.55,78,100,17.31,overcast clouds
13,Norman Wells,CA,-126.8329,65.282,33.84,93,90,8.05,overcast clouds
14,Nome,US,-165.4064,64.5011,37.47,53,1,14.97,clear sky
15,Pangnirtung,CA,-65.7125,66.1451,36.99,83,13,1.36,few clouds
16,Ribeira Grande,PT,-28.7,38.5167,71.56,89,95,10.36,overcast clouds
17,Saint-Augustin,CA,-58.6502,51.226,43.61,90,100,10.54,overcast clouds
18,Saint-Philippe,RE,55.7679,-21.3585,69.39,74,45,13.09,scattered clouds
19,Makkah al Mukarramah,SA,39.8261,21.4267,84.56,37,78,5.44,broken clouds
20,Presidencia Roque Sáenz Peña,AR,-60.4388,-26.7852,68.7,92,62,3.15,broken clouds
21,Barrow,US,-156.7887,71.2906,28.42,80,75,11.5,broken clouds
22,Butaritari,KI,172.7902,3.0707,82.15,68,23,18.25,few clouds
23,Rikitea,PF,-134.9692,-23.1203,73.47,65,0,19.84,clear sky
24,São Filipe,CV,-24.4956,14.8961,79.54,81,71,8.86,broken clouds
25,Kaitangata,NZ,169.8464,-46.2817,53.92,75,100,3.0,overcast clouds
26,Hāgere Selam,ET,38.5167,6.4833,47.1,96,59,2.44,broken clouds
27,Lebu,CL,-73.65,-37.6167,48.24,72,6,17.78,clear sky
28,Ushuaia,AR,-68.3,-54.8,40.66,81,75,13.8,broken clouds
29,Hermanus,ZA,19.2345,-34.4187,51.91,67,42,2.51,scattered clouds
30,Atar,MR,-13.0499,20.5169,88.2,26,50,3.13,scattered clouds
31,Kapaa,US,-159.319,22.0752,84.18,69,90,4.0,light rain
32,Hasaki,JP,140.8333,35.7333,79.2,66,0,12.93,clear sky
33,Bud,US,-86.1758,39.447,70.3,97,99,10.45,overcast clouds
34,Vanderhoof,CA,-124.0198,54.0166,44.91,56,0,5.41,clear sky
35,Hilo,US,-155.09,19.7297,83.93,76,75,9.22,broken clouds
36,Pisco,PE,-76.2167,-13.7,62.02,88,0,17.27,clear sky
37,Carnarvon,AU,113.6333,-24.8667,68.07,64,90,11.5,overcast clouds
38,Alakurtti,RU,30.3491,66.9672,37.63,96,100,5.37,overcast clouds
39,Davila,PH,120.5763,18.4726,87.78,67,50,9.8,scattered clouds
40,Aquidauana,BR,-55.7872,-20.4711,81.57,56,1,4.94,clear sky
41,Hithadhoo,MV,73.0833,-0.6,83.5,72,25,12.68,scattered clouds
42,Saskylakh,RU,114.0833,71.9167,23.32,95,96,6.04,overcast clouds
43,Cidreira,BR,-50.2056,-30.1811,63.48,82,22,11.59,few clouds
44,Taksimo,RU,114.8794,56.3444,40.06,54,68,1.54,broken clouds
45,Tuktoyaktuk,CA,-133.0374,69.4541,33.8,100,90,16.11,overcast clouds
46,Ayagoz,KZ,80.4392,47.9714,37.35,63,100,11.79,overcast clouds
47,Port Macquarie,AU,152.9167,-31.4333,78.89,44,6,8.25,clear sky
48,Petropavlovsk-Kamchatskiy,RU,158.6483,53.0452,48.79,87,75,8.95,moderate rain
49,Jamestown,US,-79.2353,42.097,64.71,81,1,8.05,clear sky
50,Kuybysheve,UA,36.6491,47.358,45.48,68,13,11.14,few clouds
51,Porto Santo,PT,-16.3415,33.072,70.18,68,75,9.22,broken clouds
52,Kavieng,PG,150.7967,-2.5744,85.26,64,21,4.5,few clouds
53,Sambava,MG,50.1667,-14.2667,67.62,84,41,8.32,scattered clouds
54,George Town,MY,100.3354,5.4112,85.93,82,20,3.0,few clouds
55,Chiang Klang,TH,100.8617,19.2938,74.53,74,62,0.92,broken clouds
56,Saint Paul Harbor,US,-152.4072,57.79,39.36,50,82,25.97,broken clouds
57,Geraldton,AU,114.6,-28.7667,66.61,63,90,16.11,overcast clouds
58,Vila Franca do Campo,PT,-25.4333,37.7167,73.2,92,92,7.16,overcast clouds
59,Te Anau,NZ,167.7167,-45.4167,54.01,63,100,0.76,overcast clouds
60,Jambi City,ID,103.6167,-1.6,83.23,71,99,1.95,overcast clouds
61,Bluff,NZ,168.3333,-46.6,55.8,73,100,5.14,overcast clouds
62,Muros,ES,-9.0603,42.7762,56.84,96,94,16.24,overcast clouds
63,Paita,PE,-81.1144,-5.0892,63.57,83,5,14.34,clear sky
64,Padang,ID,100.3543,-0.9492,80.65,70,92,0.96,overcast clouds
65,Bredasdorp,ZA,20.0403,-34.5322,46.27,73,39,5.86,scattered clouds
66,Vaini,TO,-175.2,-21.2,73.56,94,75,12.66,broken clouds
67,Bubaque,GW,-15.8333,11.2833,81.43,77,97,7.67,overcast clouds
68,Muhos,FI,25.9931,64.808,45.9,88,84,7.63,broken clouds
69,Ancud,CL,-73.8203,-41.8697,44.13,84,44,7.63,scattered clouds
70,Faanui,PF,-151.75,-16.4833,78.85,72,13,13.49,few clouds
71,Mataura,NZ,168.8643,-46.1927,55.47,63,100,1.86,overcast clouds
72,Puro,PH,123.3827,12.4841,84.06,75,98,5.64,overcast clouds
73,Winfield,US,-96.9956,37.2398,65.75,88,1,6.91,clear sky
74,Joigny,FR,3.401,47.9829,64.42,60,100,26.22,overcast clouds
75,Kirakira,SB,161.9205,-10.4544,82.54,79,39,4.65,scattered clouds
76,Hobart,AU,147.3294,-42.8794,57.25,95,75,1.01,broken clouds
77,Mangaldai,IN,92.0333,26.4333,82.31,86,63,2.64,broken clouds
78,Yambio,SS,28.3955,4.5721,66.99,98,98,2.35,overcast clouds
79,Yellowknife,CA,-114.3525,62.456,48.42,99,75,12.66,light rain
80,Nanortalik,GL,-45.2371,60.1432,40.78,73,4,2.93,clear sky
81,Tegul'det,RU,88.1667,57.3064,32.34,95,100,7.16,overcast clouds
82,Ekenäs,FI,23.4339,59.9736,47.89,90,37,14.92,scattered clouds
83,Bengkulu,ID,102.2655,-3.8004,81.16,74,28,1.97,scattered clouds
84,Souillac,MU,57.5167,-20.5167,72.36,83,40,12.66,scattered clouds
85,San Cristobal,VE,-72.225,7.7669,75.38,87,17,2.26,few clouds
86,Samdari,IN,72.5833,25.8167,83.08,62,5,5.88,clear sky
87,Mossamedes,AO,12.1522,-15.1961,58.21,88,11,4.5,few clouds
88,Sørland,NO,12.6934,67.667,52.97,84,100,18.01,overcast clouds
89,Olafsvik,IS,-23.7142,64.8945,40.14,80,100,31.99,overcast clouds
90,Lafia,NG,8.5167,8.4833,73.83,95,100,1.92,moderate rain
91,Correntina,BR,-44.6367,-13.3433,79.12,32,0,5.41,clear sky
92,Ifo,NG,3.1958,6.8144,78.42,94,66,3.53,broken clouds
93,Kruisfontein,ZA,24.7314,-34.0033,47.88,71,66,12.26,broken clouds
94,Strezhevoy,RU,77.5889,60.7333,31.98,95,100,2.66,overcast clouds
95,Gravdal,NO,13.5031,68.1214,51.49,88,100,14.76,light rain
96,Nikolskoye,RU,30.7861,59.7035,43.88,95,16,4.76,few clouds
97,Cape Town,ZA,18.4232,-33.9258,52.12,71,40,2.3,scattered clouds
98,Khatanga,RU,102.5,71.9667,18.77,94,68,1.95,broken clouds
99,Apatzingán,MX,-102.35,19.0833,77.13,82,79,2.01,broken clouds
100,Mount Gambier,AU,140.7667,-37.8333,58.91,94,90,12.66,overcast clouds
101,Anadyr,RU,177.4833,64.75,32.5,100,90,11.01,light snow
102,Kralendijk,BQ,-68.2667,12.15,84.18,79,20,17.27,few clouds
103,Elliot Lake,CA,-82.6331,46.3834,60.89,100,100,3.04,overcast clouds
104,Carutapera,BR,-46.02,-1.195,77.95,77,6,7.18,clear sky
105,Porto Real,BR,-44.2903,-22.4197,67.59,94,73,1.95,broken clouds
106,Zhigansk,RU,123.3711,66.7697,32.05,69,24,9.64,few clouds
107,Ponta do Sol,PT,-17.1,32.6667,72.72,78,0,1.72,clear sky
108,Talnakh,RU,88.3972,69.4865,17.92,91,36,1.61,scattered clouds
109,Esperance,AU,121.9,-33.8667,55.24,68,88,26.17,overcast clouds
110,Taoudenni,ML,-3.9836,22.6783,90.61,11,63,5.14,broken clouds
111,Kalengwa,ZM,25.0027,-13.4659,64.94,89,100,3.89,light rain
112,New Norfolk,AU,147.0587,-42.7826,56.91,97,100,2.53,light rain
113,Saint-Joseph,RE,55.6167,-21.3667,68.38,74,23,11.45,few clouds
114,Xiuyan,CN,123.2744,40.2928,71.06,91,100,7.52,heavy intensity rain
115,Yulara,AU,130.9889,-25.2406,69.64,28,0,10.36,clear sky
116,Berlevåg,NO,29.0864,70.8578,53.55,71,75,20.71,broken clouds
117,Waingapu,ID,120.2641,-9.6567,86.23,57,94,5.03,overcast clouds
118,Burnie,AU,145.9167,-41.0667,68.94,53,12,13.85,few clouds
119,Lagoa,PT,-27.9833,39.05,69.69,86,99,11.65,overcast clouds
120,Biak,ID,122.8766,-0.9131,82.71,71,75,3.96,broken clouds
121,Perth,AU,115.8333,-31.9333,63.66,62,40,14.97,scattered clouds
122,Batagay-Alyta,RU,130.4114,67.8006,24.31,69,6,1.81,clear sky
123,Concepción del Oro,MX,-101.4167,24.6333,66.16,55,100,5.1,overcast clouds
124,Manokwari,ID,134.0833,-0.8667,81.54,79,100,3.36,overcast clouds
125,Karratha,AU,116.8463,-20.7377,80.35,23,5,8.93,clear sky
126,Saint George,US,-113.5841,37.1041,84.79,15,1,5.75,clear sky
127,Constitución,CL,-72.4167,-35.3333,49.48,54,0,15.9,clear sky
128,Hobyo,SO,48.5268,5.3505,77.9,88,21,17.49,few clouds
129,Kamiiso,JP,140.65,41.8167,70.18,56,40,14.97,scattered clouds
130,Lexington,US,-84.4777,37.9887,71.98,79,75,4.61,broken clouds
131,Kachug,RU,105.8817,53.9606,37.62,81,100,5.32,overcast clouds
132,Key West,US,-81.7826,24.5557,84.2,67,1,11.5,clear sky
133,Mananjary,MG,48.3333,-21.2167,66.38,91,19,7.85,few clouds
134,Necochea,AR,-58.7368,-38.5473,47.03,87,42,17.83,scattered clouds
135,Kiryat Gat,IL,34.7642,31.61,70.48,78,21,2.37,few clouds
136,Koslan,RU,48.8989,63.4564,41.4,95,100,2.51,overcast clouds
137,Inhambane,MZ,35.3833,-23.865,73.8,92,91,9.01,overcast clouds
138,Tank,PK,70.3793,32.2217,86.09,53,0,3.06,clear sky
139,Mufulira,ZM,28.2407,-12.5498,69.42,67,100,5.23,overcast clouds
140,Saint-Pierre,RE,55.4781,-21.3393,69.48,68,0,6.91,clear sky
141,Slave Lake,CA,-114.769,55.2834,51.78,62,90,3.44,overcast clouds
142,Verāval,IN,70.3667,20.9,79.99,86,96,5.37,overcast clouds
143,Misratah,LY,15.0925,32.3754,75.04,70,0,6.87,clear sky
144,Mahébourg,MU,57.7,-20.4081,72.25,83,40,12.66,scattered clouds
145,Tchibanga,GA,11.0333,-2.85,70.72,96,64,1.48,broken clouds
146,Hong Kong,HK,114.1577,22.2855,90.21,78,57,3.0,broken clouds
147,Nambucca Heads,AU,153.0,-30.65,79.0,43,7,5.32,clear sky
148,Altus,US,-99.334,34.6381,72.91,69,75,4.61,broken clouds
