City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2021-09-24 15:28:05,59.7035,30.7861,50.4,82,100,6.71
1,Ribeira Grande,PT,2021-09-24 15:29:24,38.5167,-28.7,72.0,73,20,14.97
2,Wanning,CN,2021-09-24 15:29:25,18.8003,110.3967,79.83,88,100,7.05
3,Yellowknife,CA,2021-09-24 15:27:56,62.456,-114.3525,44.42,99,90,7.0
4,Trairi,BR,2021-09-24 15:25:16,-3.2778,-39.2689,89.94,50,9,17.16
5,Vaini,TO,2021-09-24 15:29:25,-21.2,-175.2,68.16,83,20,13.8
6,Hellvik,NO,2021-09-24 15:29:25,59.9156,5.781,57.78,89,100,7.0
7,San Policarpo,PH,2021-09-24 15:29:26,12.1791,125.5072,82.29,82,46,8.39
8,Albany,US,2021-09-24 15:26:20,42.6001,-73.9662,67.17,78,27,2.95
9,Butaritari,KI,2021-09-24 15:29:26,3.0707,172.7902,82.85,75,67,15.79
10,Hasaki,JP,2021-09-24 15:29:26,35.7333,140.8333,72.28,69,100,15.23
11,Saldanha,ZA,2021-09-24 15:29:26,-33.0117,17.9442,66.25,75,75,9.01
12,Karasuk,RU,2021-09-24 15:29:27,53.7377,78.0403,42.57,61,99,12.41
13,Sao Joao Da Ponte,BR,2021-09-24 15:29:27,-15.9292,-44.0078,85.15,34,2,7.96
14,Necochea,AR,2021-09-24 15:29:27,-38.5473,-58.7368,69.04,67,12,6.17
15,Rikitea,PF,2021-09-24 15:29:28,-23.1203,-134.9692,73.47,78,100,21.09
16,Bilma,NE,2021-09-24 15:29:28,18.6853,12.9164,101.77,7,47,4.9
17,Jamestown,US,2021-09-24 15:29:28,42.097,-79.2353,62.29,64,90,8.99
18,Solenzo,BF,2021-09-24 15:29:28,12.1833,-4.0833,94.95,38,67,4.81
19,Qaanaaq,GL,2021-09-24 15:29:29,77.484,-69.3632,16.29,67,20,5.93
20,Saint-Philippe,RE,2021-09-24 15:29:08,-21.3585,55.7679,72.99,83,49,12.59
21,Port Alfred,ZA,2021-09-24 15:28:21,-33.5906,26.891,64.65,69,100,10.51
22,Constitucion,CL,2021-09-24 15:28:10,-35.3333,-72.4167,66.15,53,0,4.29
23,Eugene,US,2021-09-24 15:27:18,44.0521,-123.0867,57.4,95,1,0.0
24,Hilo,US,2021-09-24 15:27:41,19.7297,-155.09,73.27,68,1,8.05
25,Shache,CN,2021-09-24 15:29:29,38.4167,77.2406,75.58,18,0,8.43
26,Vestmannaeyjar,IS,2021-09-24 15:29:29,63.4427,-20.2734,47.39,76,20,3.44
27,Mount Gambier,AU,2021-09-24 15:29:30,-37.8333,140.7667,44.51,81,75,5.75
28,Daru,PG,2021-09-24 15:29:30,-9.0763,143.2092,76.73,89,88,11.72
29,Hithadhoo,MV,2021-09-24 15:29:30,-0.6,73.0833,81.91,69,100,7.02
30,Kenora,CA,2021-09-24 15:27:38,49.8167,-94.4337,51.78,53,75,6.91
31,San Quintin,MX,2021-09-24 15:29:31,30.4833,-115.95,69.22,81,24,8.25
32,Basco,PH,2021-09-24 15:29:31,20.4487,121.9702,84.27,74,5,18.7
33,Mataura,NZ,2021-09-24 15:29:31,-46.1927,168.8643,50.49,78,98,9.17
34,Esperance,AU,2021-09-24 15:29:32,-33.8667,121.9,46.24,76,10,9.57
35,Ancud,CL,2021-09-24 15:29:32,-41.8697,-73.8203,63.43,82,100,5.97
36,Vila Franca Do Campo,PT,2021-09-24 15:29:32,37.7167,-25.4333,70.21,62,55,4.36
37,Puerto Ayora,EC,2021-09-24 15:29:32,-0.7393,-90.3518,71.56,80,95,7.96
38,Carnarvon,AU,2021-09-24 15:29:33,-24.8667,113.6333,68.07,77,75,18.41
39,Bengkulu,ID,2021-09-24 15:29:33,-3.8004,102.2655,77.27,88,94,3.91
40,Santiago Del Estero,AR,2021-09-24 15:25:42,-27.7951,-64.2615,71.8,29,0,7.18
41,Muana,BR,2021-09-24 15:29:33,-1.5283,-49.2167,91.99,47,39,8.7
42,Lethem,GY,2021-09-24 15:29:34,3.3803,-59.7968,90.54,51,91,9.28
43,Punta Arenas,CL,2021-09-24 15:28:06,-53.15,-70.9167,53.71,62,75,14.97
44,Pasco,US,2021-09-24 15:29:34,28.292,-82.4165,86.25,64,7,5.01
45,Busselton,AU,2021-09-24 15:29:34,-33.65,115.3333,50.09,75,20,14.97
46,Puerto Escondido,MX,2021-09-24 15:29:34,15.85,-97.0667,83.12,68,100,2.15
47,Bredasdorp,ZA,2021-09-24 15:28:11,-34.5322,20.0403,67.32,52,29,13.8
48,Carballo,ES,2021-09-24 15:29:35,43.213,-8.691,77.54,78,78,7.65
49,Ajaccio,FR,2021-09-24 15:29:35,42.0,8.9167,76.98,51,0,8.05
50,Luena,AO,2021-09-24 15:29:35,-11.7833,19.9167,89.78,48,40,9.22
51,Tuktoyaktuk,CA,2021-09-24 15:29:36,69.4541,-133.0374,30.2,93,90,13.8
52,Kirkkonummi,FI,2021-09-24 15:29:36,60.1238,24.4385,48.87,95,100,9.08
53,Saint-Leu,RE,2021-09-24 15:29:36,-21.15,55.2833,72.46,78,25,6.2
54,Kapaa,US,2021-09-24 15:28:40,22.0752,-159.319,77.32,78,40,1.01
55,Upernavik,GL,2021-09-24 15:29:37,72.7868,-56.1549,25.57,88,100,5.23
56,Juneau,US,2021-09-24 15:25:12,58.3019,-134.4197,53.6,89,75,11.01
57,Los Llanos De Aridane,ES,2021-09-24 15:29:37,28.6585,-17.9182,73.13,77,75,5.75
58,The Pas,CA,2021-09-24 15:29:37,53.8251,-101.2541,51.82,71,90,20.71
59,Xining,CN,2021-09-24 15:29:38,36.6167,101.7667,55.8,74,90,1.79
60,Chuy,UY,2021-09-24 15:29:38,-33.6971,-53.4616,62.92,69,0,10.49
61,Satis,RU,2021-09-24 15:29:38,54.9229,43.2298,51.03,75,100,5.61
62,Tual,ID,2021-09-24 15:29:39,-5.6667,132.75,79.84,81,99,15.26
63,Yomou,GN,2021-09-24 15:29:39,7.5603,-9.2653,82.63,73,71,4.88
64,Salinopolis,BR,2021-09-24 15:29:39,-0.6136,-47.3561,86.2,64,43,11.52
65,Vanavara,RU,2021-09-24 15:29:40,60.34,102.2797,29.98,73,46,2.17
66,Lianyuan,CN,2021-09-24 15:29:40,27.6883,111.6642,81.81,59,0,1.41
67,Kaitangata,NZ,2021-09-24 15:29:40,-46.2817,169.8464,46.49,78,100,7.58
68,Nanortalik,GL,2021-09-24 15:29:40,60.1432,-45.2371,35.82,46,0,17.6
69,Ilulissat,GL,2021-09-24 15:29:41,69.2167,-51.1,28.42,43,20,5.75
70,Cape Town,ZA,2021-09-24 15:28:49,-33.9258,18.4232,66.61,59,0,16.11
71,Ushuaia,AR,2021-09-24 15:29:10,-54.8,-68.3,55.06,50,75,12.66
72,Tasiilaq,GL,2021-09-24 15:29:41,65.6145,-37.6368,35.76,73,100,3.06
73,Kahului,US,2021-09-24 15:29:41,20.8947,-156.47,73.42,87,20,10.36
74,Bambanglipuro,ID,2021-09-24 15:29:42,-7.95,110.2833,77.59,85,47,9.08
75,Hay River,CA,2021-09-24 15:29:42,60.8156,-115.7999,39.18,87,75,8.05
76,Fortuna,US,2021-09-24 15:29:42,40.5982,-124.1573,65.35,59,1,1.99
77,Xuddur,SO,2021-09-24 15:29:42,4.1213,43.8894,85.95,33,100,10.8
78,New Norfolk,AU,2021-09-24 15:28:29,-42.7826,147.0587,39.7,65,70,5.01
79,Sozimskiy,RU,2021-09-24 15:29:43,59.7418,52.2482,46.94,81,100,8.32
80,Atuona,PF,2021-09-24 15:29:43,-9.8,-139.0333,77.59,73,58,18.52
81,Kinkala,CG,2021-09-24 15:29:43,-4.3614,14.7644,82.71,44,94,3.6
82,Saskylakh,RU,2021-09-24 15:29:43,71.9167,114.0833,33.49,89,100,7.74
83,Iquitos,PE,2021-09-24 15:29:44,-3.7481,-73.2472,78.84,83,75,2.3
84,Bemidji,US,2021-09-24 15:29:44,47.4736,-94.8803,56.14,60,1,10.36
85,Karratha,AU,2021-09-24 15:29:44,-20.7377,116.8463,73.74,71,3,10.71
86,Galesong,ID,2021-09-24 15:29:44,-5.3166,119.3661,75.22,76,98,4.88
87,Hobart,AU,2021-09-24 15:29:45,-42.8794,147.3294,40.05,71,40,5.99
88,Buraydah,SA,2021-09-24 15:29:45,26.326,43.975,100.85,12,0,2.64
89,Bell Ville,AR,2021-09-24 15:29:45,-32.6259,-62.6887,71.8,44,0,7.81
90,Qujing,CN,2021-09-24 15:29:46,25.4833,103.7833,59.32,96,4,4.85
91,Barrow,US,2021-09-24 15:29:46,71.2906,-156.7887,24.82,86,75,3.44
92,Portland,US,2021-09-24 15:27:31,45.5234,-122.6762,63.75,86,1,1.01
93,Cidreira,BR,2021-09-24 15:29:46,-30.1811,-50.2056,62.4,86,100,9.71
94,Havoysund,NO,2021-09-24 15:29:46,70.9963,24.6622,50.23,82,94,19.48
95,Kruisfontein,ZA,2021-09-24 15:29:47,-34.0033,24.7314,63.88,63,100,9.51
96,Souillac,MU,2021-09-24 15:29:47,-20.5167,57.5167,72.36,78,40,11.5
97,Biltine,TD,2021-09-24 15:29:47,14.5333,20.9167,100.02,12,99,4.81
98,Lagos,NG,2021-09-24 15:29:29,6.5833,3.75,84.52,62,47,7.76
99,Stuttgart,DE,2021-09-24 15:29:47,48.7823,9.177,74.8,52,20,2.3
100,Camana,PE,2021-09-24 15:29:47,-16.6228,-72.7111,65.39,73,25,7.4
101,Hovd,MN,2021-09-24 15:29:48,48.0056,91.6419,45.68,47,52,5.23
